Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
3643,UEI-IMD-FL-2007-0064,2007-07-01,01-07-2007 00:00,1.0,heavy rains,,Kodagu,Karnataka,,,,,1.0,,,,One person died due to wall collapse.,,IMD,,541,29
3644,UEI-IMD-FL-2007-0065,2007-07-04,04-07-2007 00:00,1.0,heavy rains,,Belagavi,Karnataka,,,,,2.0,,,,2 persons died.,,IMD,,527,29
3645,UEI-IMD-FL-2007-0066,2007-07-08,08-07-2007 00:00,1.0,heavy rains,,Belagavi,Karnataka,,,,,1.0,,,,One person died due to wall collapse,,IMD,,527,29
3646,UEI-IMD-FL-2007-0067,2007-07-14,15-07-2007 00:00,2.0,heavy rains,,"Dakshina Kannada,Kodagu",Karnataka,,,,,,,,,,"i) Few acres of paddy field,coffee plantains inundated. ii) One bridge submerged. ",IMD,,"534, 541",29
3647,UEI-IMD-FL-2007-0068,2007-07-18,21-07-2007 00:00,4.0,"flash flood (hemavathi,kapila)",,"Bengaluru Urban, Hassan, Mandya,Mysuru",Karnataka,,,,,,5.0,,,5 persons drowned.,"i) Large number of temples flooded,a church partially submerged. ii) Heavy loss to coffee, cardamom, pepper plantains reported. iii) Hundreds of houses inundated. iv) Few trees uprooted. V) A big portion of road washed away. vi) Few vehicles damaged due to compound wall collapsed. ",IMD,,"525, 539, 544, 545",29
3648,UEI-IMD-FL-2007-0069,2007-07-31,31-07-2007 00:00,1.0,heavy rains,,Kolar,Karnataka,,,,,3.0,,,,3 women died due to hut collapse.,,IMD,,542,29
3649,UEI-IMD-FL-2007-0070,2007-08-08,12-08-2007 00:00,5.0,heavy rains,,"Beedar, Kalaburagi, Belagavi, Yadgir, Bagalkotee, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttar Kashia Kannada, Haveri, Chitradurga, Davangere, Shivamogga, Udupi, Chikkamagaluru, Chikkaballapura, Hassan, Kolar, Bengaluru Rural, Dakshina Kannada, Bengaluru Urban, Kodagu, Chamarajanagaraa, Tumakuru, Ramanagara, Mandya, Mysuru, Vijayapura",Karnataka,,,,,28.0,,,1200,i) 28 persons died due to house collapse. ii) 1200 livestock washed away. ,"i) Extensive damage to agriculture reported. 60,000 acres of fields inundated. 14,000 acres of maize, 15,000 acres of paddy,20,000 acres of cotton affected. ii) Low lying areas flooded. 50 houses collapsed. iii) Coconut,arecanut trees uprooted. iv)Virupaksha temple submerged. v) In Bellary, 16 villages inundated.  ",IMD,,"None, 538, 527, 635, None, 546, 543, 537, 528, 536, None, 540, 533, 535, 547, 549, 532, 630, 539, 542, 526, 534, 525, 541, None, 548, 631, 544, 545, 530",29
3650,UEI-IMD-FL-2007-0071,2007-09-09,09-09-2007 00:00,1.0,heavy rains,,"Ballari, Davangere,Shivamogga",Karnataka,,,,,2.0,,,,2 persons died.,"i) About 235 houses inundated,500 houses damaged. ii) 750 acres of field inundated. i) 28,493 houses collapsed. ii) A wall collapsed in chemical factory. ",IMD,,"528, 535, 547",29
3651,UEI-IMD-FL-2007-0072,2007-09-17,20-09-2007 00:00,4.0,heavy rains,,"Ballari, Chitradurga, Davangere, Dharwad, Gadag, Koppal,Raichur",Karnataka,,,,,14.0,,,,14 persons died.,,IMD,,"528, 533, 535, 536, 537, 543, 546",29
3652,UEI-IMD-FL-2007-0073,2007-09-22,22-09-2007 00:00,1.0,flash flood,,Bengaluru Urban,Karnataka,,,,,3.0,,,1,i) 3 children died. ii) A cow washed away. ,"i) 12 trees uprooted. ii) 32 shops of hardware, TV, furniture, plywood, tiles, electrical goods damaged. ",IMD,,525,29
